Location,Batch_no,Tin_no,Sample_ID,Lab_dupe,Collection_date,TSS_Analysis_date,Dirty_weight_date,volume_mL,clean_dry_mass_g,dirty_dry_mass_1-g,dirty_dry_mass_2_g,sediment_mass_mg,TSS_mg/L,pH,EC_mS/cm,pH_EC_datetime,Sample_type,Lab_technicians,Out_of_Hold_Time,BAD_GOOD,Notes,,,,
,15,48,K-ST1-01-LC-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2082,1.2235,,15.3,510,8.19,0.1604,,,Person A,FALSE,,,,,,
,15,49,K-CT2-01-GBH-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2122,1.2496,,37.4,1246.666667,8.22,0.16,,,Person A,FALSE,,,,,,
,15,50,K-ST2-01-LC-4,,7/17/2023,7/19/2023,7/21/2023,30,1.1988,1.3067,,107.9,3596.666667,8.15,0.1609,,,Person A,FALSE,,,,,,
,15,51,K-CT2-01-LC-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2053,1.2663,,61,2033.333333,8.21,0.1607,,,Person A,FALSE,,,,,,
,16,52,Stock Solution,,7/19/2023,7/19/2023,7/21/2023,30,1.204,1.2071,,3.1,103.3333333,,,,,Person A,FALSE,Good,,,,,
,16,53,DI,,7/19/2023,7/19/2023,7/21/2023,30,1.1844,1.1844,,0,0,,,,,Person A,FALSE,Good,,,,,
,16,54,K-INF-01-GBH-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2331,1.2341,,1,33.33333333,7.87,0.1619,,,Person A,FALSE,,,,,,
,16,55,K-MT2-01-GB-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2264,1.2582,,31.8,1060,8.15,0.1613,,,Person A,FALSE,,,,,,
,16,56,K-MT1-01-GB-4,,7/17/2023,7/19/2023,7/21/2023,30,1.1938,1.2098,,16,533.3333333,8.15,0.1612,,,Person A,FALSE,,,,,,
,16,57,K-CT1-01-ISC-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2201,1.2446,,24.5,816.6666667,8.21,0.1617,,,Person A,FALSE,,,,,,
,16,58,K-MT1-01-GBH-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2251,1.2293,,4.2,140,8.15,0.162,,,Person A,FALSE,,,,,,
,16,59,K-ST2-01-ISC-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2072,1.2576,,50.4,1680,8.18,0.1603,,,Person A,FALSE,,,,,,
,16,60,K-INF-01-GB-4,,7/17/2023,7/19/2023,7/21/2023,30,1.222,1.2234,,1.4,46.66666667,8.03,0.1616,,,Person A,FALSE,,,,,,
,16,61,K-ST1-01-GB-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2129,1.2293,,16.4,546.6666667,8.18,0.1613,,,Person A,FALSE,,,,,,
,16,62,K-CT1-01-GB-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2167,1.2352,,18.5,616.6666667,8.18,0.1602,,,Person A,FALSE,,,,,,
,16,63,K-CT2-01-GB-4,,7/17/2023,7/19/2023,7/21/2023,30,1.215,1.2572,,42.2,1406.666667,8.22,0.1598,,,Person A,FALSE,,,,,,
,17,30,Stock Solution,,7/19/2023,7/19/2023,7/21/2023,30,1.217,1.2201,,3.1,103.3333333,,,,,Person A,FALSE,Good,,,,,
,17,31,DI,,7/19/2023,7/19/2023,7/21/2023,30,1.2178,1.2178,,0,0,,,,,Person A,FALSE,Good,,,,,
,17,32,K-MT1-01-GBH-4-D,,7/17/2023,7/19/2023,7/21/2023,30,1.2012,1.2127,,11.5,383.3333333,8.19,0.1611,,,Person A,FALSE,,,,,,
,17,33,K-MT2-01-LC-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2047,1.2516,,46.9,1563.333333,8.16,0.161,,,Person A,FALSE,,,,,,
,17,34,K-ST1-01-ISC-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2148,1.2714,,56.6,1886.666667,6.99,0.1612,,,Person A,FALSE,,,,,,
,17,35,K-ST2-01-GB-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2279,1.2714,,43.5,1450,8.26,0.1609,,,Person A,FALSE,,,,,,
,18,64,Stock Solution,,8/3/2023,8/3/2023,8/4/2023,30,1.2266,1.2296,,3,100,,,,,Person A,FALSE,Good,,,,,
,18,65,DI,,8/3/2023,8/3/2023,8/4/2023,30,1.2096,1.2094,,-0.2,-6.666666667,,,,,Person A,FALSE,,,,,,
,18,66,AV-CT1-03-LC-4,,8/1/2023,8/3/2023,8/4/2023,30,1.217,1.2445,,27.5,916.6666667,8.15,0.1129,,,Person A,FALSE,,,,,,
,18,67,AV-CT1-03-LC-4-D,,8/1/2023,8/3/2023,8/4/2023,30,1.2085,1.2459,,37.4,1246.666667,8.24,0.1127,,,Person A,FALSE,,,,,,
,18,68,AV-ST2-03-OT-LC-4,,8/1/2023,8/3/2023,8/4/2023,30,1.1996,1.2108,,11.2,373.3333333,8.29,0.1138,,,Person A,FALSE,,,,,,
,18,36,AV-ST2-03-OT-LC-4-D,,8/1/2023,8/3/2023,8/4/2023,30,1.2182,1.2287,,10.5,350,8.32,0.1142,,,Person A,FALSE,,,,,,
,19,1,Stock Solution,,8/4/2023,8/4/2023,8/6/2023,30,1.2165,1.2195,,3,100,,,,,Person A,FALSE,Good,,,,,
,19,2,DI,,8/4/2023,8/4/2023,8/6/2023,30,1.2251,1.2251,,0,0,,,,,Person A,FALSE,Good,,,,,
,19,3,AV-ST2-03-OT-ISC-4,,8/1/2023,8/4/2023,8/6/2023,30,1.2165,1.228,,11.5,383.3333333,8.28,0.1154,,,Person A,FALSE,,,,,,
,19,4,AV-ST2-03-OT-ISC-4-D,,8/1/2023,8/4/2023,8/6/2023,30,1.2133,1.2224,,9.1,303.3333333,8.35,0.1151,,,Person A,FALSE,,,,,,
,19,5,AV-CT2-03-OT-LC-4,,8/1/2023,8/4/2023,8/6/2023,30,1.2149,1.2239,,9,300,8.25,0.113,,,Person A,FALSE,,,,,,
,19,6,AV-CT2-03-OT-LC-4-D,,8/1/2023,8/4/2023,8/6/2023,30,1.2213,1.2299,,8.6,286.6666667,8.35,0.1126,,,Person A,FALSE,,,,,,
,19,7,AV-CT2-03-OT-ISC-4,,8/1/2023,8/4/2023,8/6/2023,30,1.2177,1.2285,,10.8,360,8.14,0.1144,,,Person A,FALSE,,,,,,
,19,8,AV-CT2-03-OT-ISC-4-D,,8/1/2023,8/4/2023,8/6/2023,30,1.2146,1.2464,,31.8,1060,8.02,0.1138,,,Person A,FALSE,,,,,,
,19,9,K-MT1-S1-LC-4,,8/1/2023,8/4/2023,8/6/2023,30,1.2158,1.255,,39.2,1306.666667,8.05,0.254,,,Person A,FALSE,,,,,,
,19,10,K-CT1-S1-LC-4,,8/1/2023,8/4/2023,8/6/2023,30,1.2087,1.2705,,61.8,2060,8.06,0.209,,,Person A,FALSE,,,,,,
,20,20,Stock Solution,,8/4/2023,8/4/2023,8/6/2023,30,1.1981,1.2013,,3.2,106.6666667,,,,,Person A,FALSE,Good,,,,,
,20,21,DI,,8/4/2023,8/4/2023,8/6/2023,30,1.2102,1.2101,,-0.1,-3.333333333,,,,,Person A,FALSE,,,,,,
,20,22,K-CT2-S1-LC-4,,8/1/2023,8/4/2023,8/6/2023,30,1.2194,1.3629,,143.5,4783.333333,8.01,0.192,,EC 0 on main,Person A,FALSE,,,,,,
,20,23,K-ST1-S1-LC-4,,8/1/2023,8/4/2023,8/6/2023,30,1.2175,1.274,,56.5,1883.333333,7.93,0.393,,EC 0 on main,Person A,FALSE,,,,,,
,20,24,K-ST2-S1-LC-4,,8/1/2023,8/4/2023,8/6/2023,30,1.2151,1.3353,,120.2,4006.666667,8.19,0.405,,EC 0 on main,Person A,FALSE,,,,,,
,20,25,A2-S1-OT-ISC-4,,8/1/2023,8/4/2023,8/6/2023,30,1.1989,1.2263,,27.4,913.3333333,7.32,0.455,,,Person A,FALSE,,,,,,
,20,26,A2-S1-OT-ISC-4-D,,8/1/2023,8/4/2023,8/6/2023,30,1.1923,1.215,,22.7,756.6666667,7.3,0.357,,,Person A,FALSE,,,,,,
,21,23,Stock Solution,,8/14/2023,8/14/2023,8/16/2023,30,1.2146,1.2176,,3,100,,,,,Person A and B,FALSE,Good,,,,,
,21,24,DI,,8/14/2023,8/14/2023,8/16/2023,30,1.2097,1.2097,,0,0,,,,,Person A and B,FALSE,Good,,,,,
,21,27,UYM-04-IN-LC-4,,8/9/2023,8/14/2023,8/16/2023,30,1.2095,1.2098,,0.3,10,8.32,OOR,,,Person A and B,FALSE,,,,,,
,21,29,UYM-04-IN-LC-4-D,,8/9/2023,8/14/2023,8/16/2023,30,1.2172,1.2176,,0.4,13.33333333,8.55,0.301,,,Person A and B,FALSE,,,,,,
,21,31,UYM-04-OT-ISC-4-3,,8/9/2023,8/14/2023,8/16/2023,30,1.2108,1.2115,,0.7,23.33333333,7.85,0.446,,,Person A and B,FALSE,,TSS wafer had lots of organic matter on it'2023-08-16     10:38,,,,
,21,33,UYM-04-OT-ISC-4-7-D,,8/9/2023,8/14/2023,8/16/2023,30,1.1985,1.1985,,0,0,8.23,0.54,,,Person A and B,FALSE,,,,,,
,21,35,UYM-04-OT-ISC-4-11,,8/9/2023,8/14/2023,8/16/2023,30,1.2208,1.2208,,0,0,8.02,0.437,,,Person A and B,FALSE,,,,,,
,22,13,Stock Solution,,8/9/2023,8/16/2023,8/17/2023,30,1.2011,1.2038,,2.7,90,,,,,Person A and B,FALSE,,,,,,
,22,14,DI,,8/9/2023,8/16/2023,8/17/2023,30,1.2071,1.2071,,0,0,,,,,Person A and B,FALSE,,,,,,
,22,17,UYM-04-OT-ISC-4-7,,8/9/2023,8/16/2023,8/17/2023,30,1.2046,1.2046,,0,0,7.89,0.262,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,22,19,UYM-04-OT-ISC-4-9,,8/9/2023,8/16/2023,8/17/2023,30,1.193,1.1931,,0.1,3.333333333,8.34,OOR,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,22,20,UYM-04-OT-ISC-4-9,,8/9/2023,8/16/2023,8/17/2023,30,1.19,1.1898,,-0.2,-6.666666667,8.34,OOR,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,22,21,UYM-04-OT-ISC-4-13-D,,8/9/2023,8/16/2023,8/17/2023,30,1.1884,1.1887,,0.3,10,8.34,0.224,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,22,22,UYM-OT-ISC-4-5,,8/9/2023,8/16/2023,8/17/2023,30,1.2065,1.2063,,-0.2,-6.666666667,8.19,0.444,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,22,23,UYM-04-OT-ISC-4-13,,8/9/2023,8/16/2023,8/17/2023,30,1.2025,1.2028,,0.3,10,8.37,OOR,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,22,24,UYM-04-OT-ISC-4-1,,8/9/2023,8/16/2023,8/17/2023,30,1.1997,1.2,,0.3,10,7.87,0.574,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,22,25,UYM-04-OT-ISC-4-1-D,,8/9/2023,8/16/2023,8/17/2023,30,1.1913,1.1917,,0.4,13.33333333,7.89,0.434,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,23,1,Stock Solution,,8/9/2023,8/16/2023,8/17/2023,30,1.2189,1.2219,,3,100,,,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,23,2,DI,,8/9/2023,8/16/2023,8/17/2023,30,1.2257,1.2257,,0,0,,,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,23,3,SCO-04-GB-4-D,,8/9/2023,8/16/2023,8/17/2023,30,1.2155,1.2156,,0.1,3.333333333,8.3,0.437,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,23,4,SB-04-OT-ISC-4,,8/9/2023,8/16/2023,8/17/2023,30,1.2097,1.2103,,0.6,20,8.19,OOR,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,23,5,SCO-04-GB-4,,8/9/2023,8/16/2023,8/17/2023,30,1.2096,1.2098,,0.2,6.666666667,8.22,0.44,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,23,6,SCA-04-GB-4-D,,8/9/2023,8/16/2023,8/17/2023,30,1.2163,1.2167,,0.4,13.33333333,8.41,0.459,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,23,7,MOR-04-GB-4-D,,8/9/2023,8/16/2023,8/17/2023,30,1.2144,1.2288,,14.4,480,7.47,OOR,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,23,8,SCA-04-GB-4,,8/9/2023,8/16/2023,8/17/2023,30,1.2078,1.208,,0.2,6.666666667,8.47,0.459,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,23,9,MOR-04-GB-4,,8/9/2023,8/16/2023,8/17/2023,30,1.205,1.2192,,14.2,473.3333333,7.75,ORR,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,23,10,SCI-04-GB-4,,8/9/2023,8/16/2023,8/17/2023,30,1.1949,1.1949,,0,0,8.72,0.431,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,23,11,TR-04-GB-4-D,,8/9/2023,8/16/2023,8/17/2023,30,1.2102,1.2103,,0.1,3.333333333,8.43,0.434,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,23,12,TR-04-GB-4,,8/9/2023,8/16/2023,8/17/2023,30,1.2073,1.2074,,0.1,3.333333333,7.94,0.434,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,23,35,SCI-04-GB-4-D,,8/9/2023,8/16/2023,8/17/2023,30,1.1998,1.1999,,0.1,3.333333333,8.76,0.429,8/24/23 15:00,,Person A and B,FALSE,,,,,,
,24,13,Stock Solution,,8/15/2023,8/22/2023,8/22/2023,30,1.2079,1.2109,,3,100,,,,,Person B,FALSE,,,,,,
,24,14,DI,,8/15/2023,8/22/2023,8/22/2023,30,1.2165,1.2163,,-0.2,-6.666666667,,,,,Person B,FALSE,,,,,,
,24,15,K-CT2-02-ISC-4,,8/15/2023,8/22/2023,8/22/2023,30,1.2226,1.2705,,47.9,1596.666667,8.04,0.1304,9/1/23 11:00,,Person B,FALSE,,,,,,
,24,16,K-CT2-02-LC-4,,8/15/2023,8/22/2023,8/22/2023,30,1.2184,1.2971,,78.7,2623.333333,8.08,0.126,9/1/23 11:00,,Person B,FALSE,,,,,,
,24,17,K-CT1-02-GBH-4,,8/15/2023,8/22/2023,8/22/2023,30,1.1966,1.2199,,23.3,776.6666667,8.02,0.1301,9/1/23 11:00,,Person B,FALSE,,,,,,
,24,18,K-MT2-02-LC-4,,8/15/2023,8/22/2023,8/22/2023,30,1.1937,1.2453,,51.6,1720,8.16,0.1302,9/1/23 11:00,,Person B,FALSE,,,,,,
,24,19,K-MT1-02-GBH-4,,8/15/2023,8/22/2023,8/22/2023,30,1.2187,1.2277,,9,300,8.13,0.1292,9/1/23 11:00,,Person B,FALSE,,,,,,
,24,20,K-CT2-02-ISC-4,,8/15/2023,8/22/2023,8/22/2023,30,1.1946,1.2423,,47.7,1590,7.92,0.1311,9/1/23 11:00,,Person B,FALSE,,,,,,
,24,22,K-ST2-02-LC-4,,8/15/2023,8/22/2023,8/22/2023,30,1.1928,1.2023,,9.5,316.6666667,8.02,0.1304,9/1/23 11:00,,Person B,FALSE,,,,,,
,24,23,K-ST1-02-LC-4,,8/15/2023,8/22/2023,8/22/2023,30,1.2132,1.221,,7.8,260,8.1,0.1316,9/1/23 11:00,,Person B,FALSE,,,,,,
,24,24,K-ST1-02-GBH-4,,8/15/2023,8/22/2023,8/22/2023,30,1.2117,1.219,,7.3,243.3333333,8.16,0.1305,9/1/23 11:00,,Person B,FALSE,,,,,,
,25,1,Stock Solution,,8/15/2023,8/25/2023,8/25/2023,30,1.2062,1.2092,,3,100,,,,,Person B,TRUE,,,,,,
,25,2,DI,,8/15/2023,8/25/2023,8/28/2023,30,1.2208,1.2208,,0,0,,,,,Person B,TRUE,,,,,,
,25,3,K-ST1-02-GB-4,,8/15/2023,8/25/2023,8/28/2023,30,1.2105,1.2206,,10.1,336.6666667,8.2,0.773,9/1/23 11:00,,Person B,TRUE,,,,,,
,25,4,K-CT1-02-LC-4,,8/15/2023,8/25/2023,8/28/2023,30,1.2099,1.2514,,41.5,1383.333333,8.1,0.1309,9/1/23 11:00,,Person B,TRUE,,,,,,
,25,5,A2-02-OT-ISC-4-D,,8/15/2023,8/25/2023,8/28/2023,30,1.2066,1.2087,,2.1,70,8.18,0.1692,9/1/23 11:00,,Person B,TRUE,,,,,,
,25,6,K-MT1-02-GBH-4-D,,8/15/2023,8/25/2023,8/28/2023,30,1.2129,1.2228,,9.9,330,8.09,0.1301,9/1/23 8:00,,Person B,TRUE,,"ph, EC collected by Jake",,,,
,25,7,K-ST2-S2-4-D,,8/15/2023,8/25/2023,8/28/2023,30,1.208,1.2885,,80.5,2683.333333,7.86,0.212,9/1/23 11:00,,Person B,TRUE,,,,,,
,25,8,K-CT1-02-GB-4,,8/15/2023,8/25/2023,8/28/2023,30,1.2135,1.2682,,54.7,1823.333333,7.76,0.1311,9/1/23 8:00,,Person B,TRUE,,"ph, EC collected by Jake",,,,
,25,9,SB-04-OT-ISC-4-D,,8/15/2023,8/25/2023,8/28/2023,30,1.2117,1.2131,,1.4,46.66666667,8.34,0.384,9/1/23 11:00,,Person B,TRUE,,,,,,
,25,10,K-CT2-02-GBH-4,,8/15/2023,8/25/2023,8/28/2023,30,1.202,1.2394,,37.4,1246.666667,8.13,0.1298,9/1/23 11:00,,Person B,TRUE,,,,,,
,25,11,K-MT2-S2-4,,8/15/2023,8/25/2023,8/28/2023,30,1.2173,1.2503,,33,1100,7.46,0.0203,9/1/23 8:00,,Person B,TRUE,,"ph, EC collected by Jake",,,,
,26,51,Stock Solution,,8/15/2023,8/25/2023,8/28/2023,30,1.2039,1.2069,,3,100,,,,,Person B,TRUE,,,,,,
,26,54,DI,,8/15/2023,8/25/2023,8/28/2023,30,1.2271,1.2272,,0.1,3.333333333,,,,,Person B,TRUE,,,,,,
,26,55,K-MT1-02-ISC-4,,8/15/2023,8/25/2023,8/28/2023,30,1.2195,1.2296,,10.1,336.6666667,8.08,0.1301,9/1/23 8:00,,Person B,TRUE,,"ph, EC collected by Jake",,,,
,26,56,K-MT2-02-GBH-4,,8/15/2023,8/25/2023,8/28/2023,30,1.1883,1.1991,,10.8,360,8.09,0.1299,9/1/23 8:00,,Person B,TRUE,,"ph, EC collected by Jake",,,,
,26,57,K-ST2-02-GBH-4,,8/15/2023,8/25/2023,8/28/2023,30,1.2151,1.2211,,6,200,8.13,0.1298,9/1/23 8:00,,Person B,TRUE,,"ph, EC collected by Jake",,,,
,26,58,K-MT1-02-GB-4,,8/15/2023,8/25/2023,8/28/2023,30,1.2182,1.2312,,13,433.3333333,8.06,0.1317,9/1/23 8:00,,Person B,TRUE,,"ph, EC collected by Jake",,,,
,26,59,K-ST2-02-ISC-4,,8/15/2023,8/25/2023,8/28/2023,30,1.2022,1.2103,,8.1,270,8.11,0.1298,9/1/23 8:00,,Person B,TRUE,,"ph, EC collected by Jake",,,,
,26,64,K-MT2-02-ISC-4,,8/15/2023,8/25/2023,8/28/2023,30,1.218,1.2383,,20.3,676.6666667,8.03,0.1285,9/1/23 8:00,,Person B,TRUE,,"ph, EC collected by Jake",,,,
,26,65,K-ST2-02-GB-4,,8/15/2023,8/25/2023,8/28/2023,30,1.2045,1.2167,,12.2,406.6666667,8.22,0.1301,9/1/23 11:00,,Person B,TRUE,,,,,,
,26,66,K-MT2-02-GB-4,,8/15/2023,8/25/2023,8/28/2023,30,1.2112,1.2241,,12.9,430,8.09,0.1304,9/1/23 8:00,,Person B,TRUE,,"ph, EC collected by Jake",,,,
,26,67,K-MT1-02-LC-4-D,,8/15/2023,8/25/2023,8/28/2023,30,1.2031,1.2167,,13.6,453.3333333,8.13,0.1298,9/1/23 8:00,,Person B,TRUE,,"ph, EC collected by Jake",,,,
,26,68,K-MT1-02-LC-4,,8/15/2023,8/25/2023,8/28/2023,30,1.1913,1.2027,,11.4,380,8.02,0.13,9/1/23 8:00,,Person B,TRUE,,"ph, EC collected by Jake",,,,
,27,1,Stock Solution,,,8/30/2023,8/31/2023,30,1.2216,1.2243,,2.7,90,,,,,Person B,TRUE,,,,,,
,27,2,DI,,,8/30/2023,8/31/2023,30,1.2232,1.2229,,-0.3,-10,,,,,Person B,TRUE,,,,,,
,27,3,AV-04-IN-GB-4-D,,8/23/2023,8/30/2023,8/31/2023,30,1.215,1.2222,,7.2,240,8.22,0.129,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,27,4,A2-03-IN-ISC-4,,8/23/2023,8/30/2023,8/31/2023,30,1.2124,1.2447,,32.3,1076.666667,8.15,0.1675,9/1/23 11:00,,Person B,FALSE,,,,,,
,27,5,A2-03-OT-ISC-4,,8/23/2023,8/30/2023,8/31/2023,30,1.2068,1.2093,,2.5,83.33333333,8.16,0.1675,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,27,6,A2-02-OT-ISC-4,,8/23/2023,8/30/2023,8/31/2023,30,1.2172,1.2194,,2.2,73.33333333,8.17,0.1709,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,27,7,A2-03-OT-ISC-4-D,,8/23/2023,8/30/2023,8/31/2023,30,1.2082,1.2103,,2.1,70,8.12,0.1677,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,27,8,A2-03-IN-ISC-4-D,,8/23/2023,8/30/2023,8/31/2023,30,1.2051,1.2341,,29,966.6666667,8.09,0.1679,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,27,9,AV-04-IN-GB-4,,8/23/2023,8/30/2023,8/31/2023,30,1.1993,1.2062,,6.9,230,8.23,0.129,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,27,10,AV-CT1-04-OT-LC-4-D,,8/23/2023,8/30/2023,8/31/2023,30,1.1912,1.2098,,18.6,620,8.18,0.1235,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,27,11,K-ST1-02-ISC-4,,8/23/2023,8/30/2023,8/31/2023,30,1.2088,1.2216,,12.8,426.6666667,8.04,0.118,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,27,12,K-CT2-02-GB-4,,8/23/2023,8/30/2023,8/31/2023,30,1.2052,1.2546,,49.4,1646.666667,8.06,0.1305,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,28,13,Stock Solution,,,8/30/2023,8/31/2023,30,1.1982,1.201,,2.8,93.33333333,,,,,Person B,TRUE,,,,,,
,28,14,DI,,,8/30/2023,8/31/2023,30,1.2045,1.2045,,0,0,,,,,Person B,TRUE,,,,,,
,28,15,AV-ST1-04-OT-LC-4-D,,8/23/2023,8/30/2023,8/31/2023,30,1.2189,1.2277,,8.8,293.3333333,8.18,0.1236,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,28,16,AV-ST2-04-OT-LC-4,,8/23/2023,8/30/2023,8/31/2023,30,1.2014,1.2096,,8.2,273.3333333,8.2,0.1242,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,28,17,K-CT1-03-ISC-4,,8/23/2023,8/30/2023,8/31/2023,30,1.2027,1.2303,,27.6,920,8.29,0.1623,9/1/23 11:00,,Person B,FALSE,,,,,,
,28,18,AV-ST1-04-OT-LC-4,,8/23/2023,8/30/2023,8/31/2023,30,1.1991,1.2074,,8.3,276.6666667,8.22,0.1231,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,28,19,AV-ST2-04-OT-LC-4-D,,8/23/2023,8/30/2023,8/31/2023,30,1.1887,1.197,,8.3,276.6666667,8.21,0.1243,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,28,20,AV-CT1-04-OT-LC-4,,8/23/2023,8/30/2023,8/31/2023,30,1.1901,1.2278,,37.7,1256.666667,8.19,0.1239,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,28,21,AV-CT2-04-OT-LC-4,,8/23/2023,8/30/2023,8/31/2023,30,1.191,1.2012,,10.2,340,8.29,0.124,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,28,22,AV-CT2-04-OT-LC-4-D,,8/23/2023,8/30/2023,8/31/2023,30,1.2043,1.2134,,9.1,303.3333333,8.27,0.124,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,28,23,K-MT2-03-LC-4,,8/23/2023,8/30/2023,8/31/2023,30,1.1987,1.2949,,96.2,3206.666667,8.18,0.1618,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,28,24,K-MT1-03-LC-4,,8/23/2023,8/30/2023,8/31/2023,30,1.2015,1.2069,,5.4,180,8.07,0.1623,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,29,25,Stock Solution,,,8/30/2023,8/31/2023,30,1.1885,1.1917,,3.2,106.6666667,,,,,Person B,TRUE,,,,,,
,29,26,DI,,,8/30/2023,8/31/2023,30,1.2025,1.2025,,0,0,,,,,Person B,TRUE,,,,,,
,29,27,K-CT2-03-ISC-4,,8/23/2023,8/30/2023,8/31/2023,30,1.2022,1.2347,,32.5,1083.333333,8.19,0.1618,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
,29,28,K-CT1-03-LC-4,,8/23/2023,8/30/2023,8/31/2023,30,1.2085,1.227,,18.5,616.6666667,8.2,0.1621,9/1/23 8:00,,Person B,FALSE,,"ph, EC collected by Jake",,,,
